	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
49304	PK	S3	VMob	Day	MedG	High
4931	IM	S5	Mob	Day	Sol	Low
4936	FC	S5	Mob	Day	Sol	Bottom
4939	OM	S4	VMob	Day	MedG	High
49409	IM	S3	Mob	Day	Sol	Bottom
49419	IM	S1	Sed	Day	Sol	Bottom
49427	IM	S2	Sed	Night	Sol	Bottom
49428	IM	S1	Sed	Night	Sol	Bottom
49429	IM	S1	Sed	Night	Sol	Bottom
49431	IM	S2	Sed	Night	Sol	Bottom
49432	IM	S1	Sed	Day	Sol	Bottom
49434	IM	S1	Sed	Night	Sol	Bottom
49435	IM	S2	Sed	Night	Sol	Bottom
49436	IM	S2	Sed	Day	Sol	Bottom
49437	IM	S2	Sed	Day	Sol	Bottom
4944	HD	S3	Mob	Day	MedG	Low
49448	IM	S3	Sed	Night	Sol	Bottom
49449	IM	S2	Sed	Day	Sol	Bottom
49506	OM	S1	Sed	Day	Sol	Bottom
49509	OM	S1	Sed	Day	Sol	Bottom
4955	IM	S5	Mob	Day	Sol	Low
4960	IM	S6	Mob	Day	Sol	Low
4962	IM	S5	Mob	Night	MedG	Low
4967	OM	S4	Mob	Day	SmallG	Bottom
4968	OM	S4	Mob	Day	Sol	Bottom
4969	OM	S4	Mob	Day	MedG	Bottom
4970	OM	S3	Mob	Day	Sol	Bottom
4971	OM	S5	Mob	Day	LargeG	Bottom
4973	OM	S4	Mob	Day	SmallG	Bottom
4974	OM	S4	Mob	Day	Sol	Bottom
4975	OM	S4	Mob	Day	MedG	Bottom
4976	OM	S4	Mob	Day	SmallG	Bottom
4977	OM	S4	Mob	Day	Sol	Bottom
4978	OM	S4	Mob	Day	Sol	Bottom
4979	OM	S5	Mob	Day	SmallG	Bottom
4980	OM	S4	Mob	Day	SmallG	Bottom
4981	OM	S4	Mob	Day	Sol	Bottom
4982	PK	S2	Sed	Day	MedG	Low
49820	FC	S6	VMob	Both	Sol	Bottom
4983	PK	S2	Sed	Day	MedG	Low
4984	IM	S3	Sed	Day	SmallG	Bottom
4985	IM	S2	Sed	Day	SmallG	Bottom
49997	IM	S4	Sed	Night	Sol	Bottom
5	IM	S4	Mob	Both	MedG	Low
5002	FC	S6	Mob	Day	SmallG	Low
50020	FC	S4	Mob	Both	Sol	Bottom
5003	IM	S5	Mob	Both	MedG	Low
5004	IM	S5	Mob	Both	MedG	Low
50052	IM	S4	Mob	Day	Sol	Bottom
5006	IM	S4	Sed	Both	Sol	Bottom
50095	FC	S3	Mob	Night	Sol	Bottom
50096	FC	S3	Mob	Night	Sol	Bottom
50101	PK	S2	Sed	Day	MedG	Low
50111	IM	S3	Mob	Night	Sol	Low
50117	IM	S2	Mob	Night	Sol	Low
50118	IM	S3	Mob	Night	Sol	Low
50136	IM	S6	Mob	Day	Sol	Bottom
50137	IM	S2	Sed	Day	Sol	Bottom
50141	IM	S4	Sed	Day	Sol	Bottom
50148	IM	S3	Mob	Day	Sol	Bottom
5018	HD	S5	Mob	Day	SmallG	Low
5019	IM	S3	Sed	Both	Sol	Bottom
5021	IM	S5	Sed	Both	Sol	Bottom
50231	IM	S2	Mob	Night	Sol	Low
5025	IM	S3	Sed	Both	Sol	Bottom
5026	IM	S4	Sed	Both	Sol	Bottom
5027	IM	S4	Sed	Both	Sol	Bottom
5028	IM	S3	Sed	Day	Sol	Bottom
5030	FC	S6	VMob	Night	SmallG	High
50318	FC	S3	Sed	Night	Sol	Bottom
50340	IM	S3	Sed	Night	Sol	Bottom
50361	PK	S1	Sed	Night	SmallG	Low
50438	IM	S1	Sed	Day	Sol	Bottom
50455	IM	S1	Sed	Day	SmallG	Bottom
5046	IM	S3	Sed	Day	Pair	Low
50467	IM	S2	Sed	Day	Sol	Bottom
50471	IM	S1	Sed	Day	Sol	Bottom
5048	IM	S6	Sed	Day	Sol	Bottom
50480	IM	S1	Sed	Day	Sol	Bottom
50489	IM	S1	Sed	Day	Sol	Bottom
50494	IM	S1	Sed	Day	Sol	Bottom
50546	IM	S1	Mob	Day	Sol	Bottom
50627	IM	S1	Sed	Day	SmallG	Bottom
50659	FC	S5	Sed	Night	Sol	Bottom
5066	IM	S6	Mob	Day	SmallG	Low
50666	FC	S5	Sed	Night	Sol	Bottom
5067	IM	S5	Mob	Day	SmallG	Low
50676	IM	S4	Sed	Night	Sol	Bottom
50689	IM	S6	Mob	Night	Sol	Bottom
5069	IM	S5	Sed	Day	Sol	Bottom
5070	IM	S3	Sed	Day	Sol	Low
50705	IM	S2	Sed	Night	Sol	Bottom
5072	FC	S2	Sed	Night	Sol	Bottom
50729	IM	S1	Sed	Night	Sol	Bottom
50730	IM	S2	Sed	Night	Sol	Bottom
50732	IM	S2	Sed	Night	Sol	Bottom
50738	IM	S2	Sed	Night	Sol	Bottom
50746	IM	S1	Sed	Night	Sol	Bottom
50747	IM	S1	Sed	Night	Sol	Bottom
50748	IM	S2	Sed	Night	Sol	Bottom
50764	IM	S5	Sed	Night	Sol	Bottom
50765	IM	S4	Sed	Night	Sol	Bottom
50769	PK	S2	Sed	Night	MedG	Low
5078	IM	S2	Sed	Day	Sol	Bottom
5079	PK	S4	VMob	Day	LargeG	High
50826	IM	S1	Sed	Day	Sol	Bottom
50880	PK	S2	Sed	Night	SmallG	Low
50885	PK	S1	Sed	Night	SmallG	Low
50886	IM	S1	Sed	Night	Sol	Bottom
509	IM	S6	Sed	Night	Sol	Bottom
5100	IM	S2	Sed	Day	Sol	Bottom
5102	IM	S2	Sed	Day	Sol	Low
5104	IM	S2	Sed	Day	Sol	Bottom
5106	PK	S3	Sed	Day	MedG	Low
5107	IM	S3	Mob	Day	SmallG	Bottom
5108	IS	S2	Sed	Day	Sol	Bottom
5109	IS	S3	Sed	Day	Sol	Bottom
5110	PK	S2	Sed	Day	MedG	Bottom
5111	PK	S2	Sed	Day	MedG	Bottom
5112	PK	S2	Sed	Day	SmallG	Bottom
51125	IM	S3	VMob	Both	SmallG	Bottom
5113	PK	S2	Sed	Day	MedG	Bottom
5126	IM	S5	VMob	Both	SmallG	Bottom
5128	PK	S2	Sed	Day	MedG	Low
51356	IM	S2	Mob	Day	LargeG	Low
5136	PK	S2	Sed	Day	MedG	Low
51367	IM	S1	Sed	Day	Sol	Bottom
51386	HM	S5	VMob	Day	MedG	Bottom
51441	IM	S1	Mob	Day	Sol	Bottom
5146	HD	S4	VMob	Both	MedG	Low
51507	IM	S2	Sed	Day	Sol	Bottom
51518	IM	S2	Sed	Day	Sol	Bottom
51538	OM	S1	Sed	Day	Sol	Bottom
51539	OM	S1	Sed	Day	Sol	Bottom
51540	OM	S1	Sed	Day	Sol	Bottom
51541	OM	S1	Sed	Day	Sol	Bottom
51543	OM	S1	Sed	Day	Sol	Bottom
51544	OM	S1	Sed	Day	Sol	Bottom
51547	OM	S1	Sed	Day	Sol	Bottom
51549	OM	S1	Sed	Day	Sol	Bottom
51550	OM	S1	Sed	Day	Sol	Bottom
51551	OM	S1	Sed	Day	Sol	Bottom
51553	OM	S1	Sed	Day	Sol	Bottom
51555	OM	S1	Sed	Day	Sol	Bottom
51557	OM	S1	Sed	Day	Sol	Bottom
51558	OM	S1	Sed	Day	Sol	Bottom
51559	OM	S1	Sed	Day	Sol	Bottom
51560	OM	S1	Sed	Day	Sol	Bottom
51561	OM	S1	Sed	Day	Sol	Bottom
51563	OM	S1	Sed	Day	Sol	Bottom
51565	OM	S1	Sed	Day	Sol	Bottom
51566	OM	S1	Sed	Day	Sol	Bottom
51567	OM	S1	Sed	Day	Sol	Bottom
5157	IM	S3	VMob	Both	MedG	Low
5158	FC	S5	Mob	Both	Sol	Bottom
51586	PK	S2	Sed	Day	LargeG	Low
51645	OM	S1	Sed	Day	Sol	Bottom
51646	OM	S1	Sed	Day	Sol	Bottom
51647	HD	S1	Sed	Day	Sol	Bottom
51692	PK	S2	Mob	Night	SmallG	Low
51695	IM	S2	Sed	Night	Sol	Bottom
51738	IM	S3	Mob	Day	Sol	Bottom
51739	IM	S2	Mob	Day	Sol	Bottom
51741	IM	S4	Mob	Day	Sol	Bottom
51745	IM	S1	Sed	Day	Sol	Bottom
51788	IM	S3	Sed	Night	Sol	Bottom
51826	PK	S1	Sed	Night	SmallG	Bottom
51830	PK	S1	Sed	Night	SmallG	Low
5195	FC	S4	Sed	Night	Sol	Low
5196	IM	S3	Mob	Both	Sol	Bottom
5224	PK	S2	VMob	Day	LargeG	High
5228	PK	S2	VMob	Day	LargeG	High
52302	FC	S4	Sed	Night	Sol	Bottom
52303	FC	S1	Sed	Night	Sol	Bottom
52304	IM	S1	Sed	Night	Sol	Bottom
52305	FC	S3	Sed	Night	Sol	Bottom
52307	IM	S1	Mob	Night	Sol	Bottom
52311	IM	S3	Mob	Both	Sol	Bottom
52352	FC	S4	Mob	Both	Sol	Bottom
52369	IM	S2	Sed	Night	Sol	Bottom
52374	IM	S2	Sed	Night	Sol	Bottom
52375	FC	S2	Sed	Night	Sol	Bottom
52376	FC	S4	Sed	Night	Sol	Bottom
52379	IM	S2	Sed	Day	Sol	Bottom
52386	OM	S2	Sed	Day	Sol	Bottom
52390	HD	S1	Sed	Day	Sol	Low
52391	HD	S1	Sed	Day	Sol	Low
52417	OM	S2	Sed	Night	Sol	Bottom
52418	IM	S2	Sed	Day	Sol	Bottom
52419	IM	S2	Sed	Day	Sol	Bottom
52423	IM	S2	Sed	Both	Sol	Bottom
52427	OM	S1	Sed	Day	Pair	Bottom
52429	PK	S1	Sed	Day	SmallG	Bottom
52430	PK	S1	Sed	Day	Sol	Bottom
52443	IM	S3	Mob	Both	Sol	Bottom
52446	IM	S3	VMob	Day	SmallG	Bottom
52454	OM	S3	Sed	Night	Sol	Bottom
52458	PK	S2	Sed	Night	MedG	Low
52459	PK	S3	Sed	Day	MedG	Bottom
52463	IM	S4	Mob	Day	Sol	Bottom
52464	IM	S3	Sed	Day	Sol	Bottom
52497	PK	S2	Sed	Night	MedG	Low
52705	IM	S1	Sed	Night	Sol	Bottom
52710	IM	S2	Sed	Day	Sol	Bottom
52762	FC	S3	Sed	Night	Sol	Bottom
52799	OM	S2	Sed	Day	Sol	Bottom
52802	OM	S1	Sed	Day	Sol	Bottom
5281	IM	S2	Sed	Day	SmallG	Bottom
52821	IM	S4	Sed	Night	Sol	Bottom
52844	IM	S4	Mob	Day	Sol	Bottom
52863	PK	S1	Sed	Day	LargeG	Low
52865	IM	S2	Sed	Night	Sol	Bottom
52889	FC	S6	Sed	Night	Sol	Bottom
52931	IM	S3	Mob	Day	SmallG	Bottom
52936	OM	S1	Sed	Day	Sol	Bottom
52939	PK	S1	Sed	Day	Sol	Bottom
52957	OM	S1	Sed	Day	Sol	Bottom
52959	PK	S1	Sed	Night	SmallG	Low
52961	IM	S1	Sed	Day	Sol	Bottom
52966	IM	S2	Sed	Night	Sol	Bottom
52971	HD	S2	Sed	Day	Sol	Bottom
53017	PK	S2	Sed	Night	MedG	Low
53023	FC	S5	Sed	Night	Sol	Bottom
53047	FC	S2	Mob	Both	Sol	Bottom
531	OM	S3	Mob	Day	SmallG	Bottom
53220	FC	S3	Sed	Night	Sol	Bottom
53239	OM	S2	Sed	Day	Sol	Bottom
5345	IM	S3	Mob	Night	Sol	Low
5347	IM	S3	Sed	Night	Sol	Bottom
5348	FC	S4	Mob	Both	Sol	Bottom
5349	FC	S6	Mob	Both	Sol	Bottom
5350	FC	S5	Mob	Both	Sol	Bottom
5354	FC	S5	Mob	Day	Sol	Bottom
53557	IM	S3	Sed	Night	Sol	Bottom
53567	IM	S2	Sed	Night	Sol	Bottom
53590	IM	S1	Sed	Night	Sol	Bottom
5367	FC	S4	Mob	Both	Sol	Bottom
5368	IM	S5	VMob	Both	SmallG	Bottom
5372	IM	S4	Mob	Day	SmallG	Bottom
53788	IM	S3	Sed	Day	Sol	Bottom
53789	IM	S3	Sed	Day	Sol	Bottom
53790	IM	S1	Sed	Day	Sol	Bottom
53792	IM	S3	Sed	Day	Sol	Bottom
5380	IM	S4	VMob	Day	SmallG	Bottom
53814	IM	S2	Sed	Day	Sol	Bottom
53816	IM	S2	Mob	Day	Sol	Bottom
53820	HD	S1	Sed	Day	Sol	Bottom
53821	HD	S1	Sed	Day	Sol	Bottom
53823	FC	S6	Sed	Night	Sol	Bottom
53824	IM	S5	Sed	Night	Sol	Bottom
53825	IM	S4	Sed	Night	Sol	Bottom
53827	IM	S3	Sed	Night	Sol	Bottom
5383	OM	S6	VMob	Day	SmallG	Bottom
53831	IM	S4	Sed	Night	Sol	Bottom
53836	IM	S4	Sed	Night	Sol	Bottom
53838	IM	S3	Sed	Night	Sol	Bottom
53839	IM	S4	Sed	Night	Sol	Bottom
53840	IM	S3	Sed	Night	Sol	Bottom
53841	IM	S4	Sed	Night	Sol	Bottom
53844	IM	S4	Sed	Night	Sol	Bottom
53846	IM	S4	Sed	Night	Sol	Bottom
53857	FC	S4	Sed	Night	Sol	Bottom
53861	IM	S2	Sed	Night	Sol	Bottom
53871	IM	S4	Sed	Night	Sol	Bottom
53879	IM	S4	Sed	Night	Sol	Bottom
5388	IM	S6	Sed	Night	Sol	Bottom
53880	IM	S5	Sed	Night	Sol	Bottom
53882	IM	S5	Sed	Night	Sol	Bottom
5389	IM	S5	Sed	Night	Sol	Bottom
53891	IM	S5	Sed	Night	Sol	Bottom
53893	FC	S4	Sed	Night	Sol	Bottom
53897	HD	S3	VMob	Both	MedG	High
5390	FC	S5	Sed	Night	Sol	Bottom
5391	FC	S6	Sed	Night	Sol	Bottom
53914	IM	S3	Sed	Day	Sol	Bottom
5392	FC	S6	Sed	Night	Sol	Bottom
53923	HD	S3	VMob	Both	MedG	High
5393	FC	S5	Sed	Night	Sol	Bottom
53939	IM	S1	Sed	Night	Sol	Bottom
5394	FC	S6	Sed	Night	Sol	Bottom
53940	IM	S4	Sed	Night	Sol	Bottom
5395	FC	S6	Sed	Night	Sol	Bottom
53954	IM	S5	Sed	Night	Sol	Bottom
53955	IM	S4	Sed	Night	Sol	Bottom
53958	IM	S4	Sed	Night	Sol	Bottom
5396	FC	S5	Sed	Night	Sol	Bottom
5397	FC	S5	Sed	Night	Sol	Bottom
53971	IM	S3	VMob	Night	LargeG	Low
5398	FC	S4	Mob	Both	Pair	Bottom
54	IM	S4	Sed	Day	Sol	Bottom
5401	IM	S5	Sed	Night	Sol	Bottom
5402	FC	S2	Sed	Night	Sol	Bottom
5403	FC	S2	Sed	Night	Sol	Bottom
5404	OM	S4	VMob	Day	MedG	High
5406	IM	S3	Mob	Night	Sol	Low
5408	PK	S3	Mob	Night	SmallG	Low
5410	IM	S2	Sed	Day	Sol	Bottom
54131	IM	S1	Sed	Night	Sol	Bottom
54176	PK	S2	Sed	Night	MedG	Low
54177	PK	S2	Sed	Night	SmallG	Low
54179	PK	S2	Sed	Day	MedG	Low
54180	PK	S2	Sed	Day	MedG	Low
54182	OM	S2	Sed	Day	SmallG	Bottom
54185	PK	S2	Sed	Day	MedG	Low
54193	PK	S2	Sed	Day	MedG	Low
5425	IS	S5	Mob	Day	Sol	Bottom
5429	IM	S5	Sed	Night	Sol	Bottom
54310	IM	S2	Sed	Day	Sol	Bottom
54311	IM	S2	Sed	Day	Sol	Bottom
54313	IM	S2	Sed	Day	Sol	Bottom
54318	PK	S5	Sed	Day	SmallG	Bottom
54320	IM	S2	Mob	Day	Sol	Bottom
54322	IM	S1	Sed	Day	Sol	Bottom
54347	PK	S2	Sed	Day	Sol	Bottom
54348	IM	S1	Sed	Day	Sol	Bottom
54349	IM	S2	Sed	Day	Sol	Bottom
54350	IM	S1	Sed	Day	Sol	Bottom
54353	IM	S2	Sed	Day	Sol	Bottom
54355	IM	S1	Sed	Day	Sol	Bottom
54356	IM	S1	Sed	Day	Sol	Bottom
54357	IM	S1	Sed	Day	Sol	Bottom
54359	IM	S1	Sed	Day	Sol	Bottom
54360	IM	S1	Sed	Day	Sol	Bottom
54361	IM	S1	Sed	Day	Sol	Bottom
54363	IM	S1	Sed	Day	Sol	Bottom
54369	IM	S2	Mob	Day	SmallG	Bottom
54395	IM	S1	Sed	Day	Sol	Bottom
54397	IM	S1	Sed	Day	Pair	Bottom
54425	HM	S4	VMob	Day	MedG	Bottom
5443	IM	S4	Mob	Both	MedG	Bottom
5444	FC	S6	VMob	Day	SmallG	High
5445	IM	S2	Sed	Day	Sol	Bottom
5446	PK	S3	Sed	Day	Pair	Low
5447	HD	S2	Sed	Day	Pair	Bottom
54470	PK	S2	Sed	Day	Pair	Low
54476	IM	S4	Sed	Day	Sol	Bottom
5448	PK	S3	Sed	Day	SmallG	Bottom
545	PK	S2	VMob	Both	LargeG	High
5450	PK	S2	Sed	Day	LargeG	Low
54505	IM	S2	Sed	Day	Sol	Bottom
54506	IM	S2	Sed	Day	Sol	Bottom
54509	IM	S2	Sed	Day	SmallG	Bottom
5454	HD	S3	Sed	Day	Pair	Bottom
5455	IM	S4	Mob	Both	Sol	Bottom
5457	HD	S2	Sed	Day	Pair	Bottom
5458	HD	S2	Sed	Day	Pair	Bottom
5459	IM	S2	Sed	Day	Pair	Bottom
54594	IM	S1	Sed	Day	Sol	Bottom
54607	IM	S2	Mob	Day	Sol	Bottom
54610	OM	S3	Sed	Day	Sol	Bottom
54621	IM	S2	Sed	Day	Pair	Bottom
5472	IS	S3	Sed	Day	Pair	Bottom
54727	IM	S1	Sed	Day	Sol	Bottom
5474	FC	S3	Sed	Night	Sol	Bottom
54745	IM	S2	Sed	Day	Pair	Bottom
5477	PK	S2	Sed	Day	MedG	Low
5478	OM	S2	Sed	Day	Sol	Bottom
548	PK	S3	VMob	Both	LargeG	High
54803	IM	S2	Sed	Night	Sol	Bottom
54806	PK	S1	Sed	Day	Sol	Bottom
5482	FC	S2	Sed	Night	SmallG	Low
5483	IM	S3	Sed	Day	Pair	Bottom
5484	PK	S2	Sed	Day	MedG	Low
5485	IM	S3	Mob	Day	SmallG	Bottom
5486	OM	S2	Sed	Day	SmallG	Bottom
5487	HD	S3	Sed	Day	SmallG	Bottom
54886	IM	S1	Sed	Day	Sol	Bottom
54891	IM	S1	Sed	Day	Sol	Bottom
54955	IM	S3	Sed	Day	Sol	Bottom
5497	IM	S3	Mob	Day	Sol	Bottom
5498	IM	S3	Mob	Day	Sol	Bottom
5499	IM	S2	Mob	Day	Sol	Bottom
5500	IM	S3	Mob	Day	Sol	Bottom
55005	OM	S2	Sed	Day	Pair	Bottom
55008	OM	S2	Sed	Day	Sol	Bottom
5501	IM	S3	Mob	Day	Sol	Bottom
55012	OM	S1	Sed	Day	Sol	Bottom
5502	IM	S4	Mob	Day	Sol	Bottom
55035	PK	S1	Sed	Day	Sol	Bottom
55036	IM	S3	Sed	Day	Sol	Bottom
55040	IM	S1	Sed	Day	Sol	Bottom
55041	IM	S1	Sed	Day	Sol	Bottom
5505	OM	S4	Mob	Day	SmallG	Low
55050	PK	S5	Sed	Day	LargeG	Bottom
55052	PK	S1	Sed	Day	LargeG	Bottom
55054	PK	S5	Sed	Day	MedG	Bottom
55056	IM	S3	Sed	Both	Sol	Bottom
55062	FC	S5	Sed	Night	Sol	Bottom
55071	IM	S3	Mob	Both	Sol	Bottom
55072	OM	S2	Sed	Day	Pair	Bottom
55073	IM	S1	Mob	Day	Sol	Low
55074	IM	S1	Sed	Day	Sol	Bottom
55101	FC	S3	Mob	Both	Sol	Bottom
55120	IM	S4	Sed	Both	Sol	Bottom
55121	FC	S2	Sed	Night	Sol	Bottom
55122	FC	S1	Sed	Night	Sol	Bottom
55124	IM	S2	Sed	Night	Sol	Bottom
55137	IM	S3	Mob	Night	Sol	Bottom
5514	FC	S6	Mob	Night	Sol	Bottom
55140	PK	S4	Sed	Day	SmallG	Bottom
5515	OM	S6	Mob	Both	MedG	Bottom
55150	PK	S4	Sed	Day	LargeG	Bottom
55151	PK	S4	Sed	Day	LargeG	Bottom
55152	PK	S4	Sed	Day	LargeG	Bottom
55153	PK	S4	Sed	Day	SmallG	Bottom
55154	PK	S4	Sed	Day	LargeG	Bottom
55159	PK	S4	Sed	Day	LargeG	Bottom
55163	PK	S6	Sed	Day	MedG	Bottom
55165	PK	S4	Sed	Day	LargeG	Bottom
55167	PK	S6	Sed	Day	SmallG	Bottom
55168	FC	S6	Sed	Night	Sol	Bottom
5518	IM	S5	VMob	Both	SmallG	Bottom
5521	IM	S5	VMob	Day	MedG	Bottom
5522	IM	S5	Sed	Night	Sol	Bottom
55229	IM	S1	Sed	Day	Sol	Bottom
5523	FC	S6	Mob	Both	Sol	Bottom
55234	IM	S2	Sed	Day	Sol	Bottom
55238	IM	S2	Sed	Day	Sol	Bottom
5524	FC	S5	Mob	Both	Sol	Bottom
5525	FC	S6	Mob	Both	Sol	Bottom
55251	HD	S1	Sed	Day	Sol	Bottom
5526	IM	S6	VMob	Both	MedG	Bottom
55260	IM	S2	Mob	Day	Sol	Bottom
55262	IM	S3	Mob	Day	Sol	Bottom
55266	OM	S1	Sed	Day	Sol	Bottom
5527	OM	S4	Mob	Day	SmallG	Low
5528	IM	S6	VMob	Day	SmallG	Bottom
5529	IM	S5	VMob	Day	SmallG	Bottom
55295	IM	S2	Sed	Day	Sol	Bottom
5530	IM	S6	VMob	Day	SmallG	Bottom
55305	PK	S2	Sed	Night	SmallG	Low
55307	PK	S3	VMob	Day	SmallG	High
5531	IM	S6	VMob	Day	SmallG	Bottom
5532	OM	S5	VMob	Day	SmallG	Bottom
5533	FC	S6	VMob	Day	SmallG	Bottom
55344	IM	S2	Mob	Day	Sol	Bottom
55347	IM	S3	Mob	Day	Sol	Bottom
55349	IM	S3	Mob	Day	Sol	Bottom
5535	IM	S4	VMob	Both	SmallG	Bottom
5536	IM	S4	Mob	Day	SmallG	Low
5537	IS	S6	VMob	Day	MedG	Bottom
5538	HD	S6	Mob	Day	SmallG	Bottom
5539	OM	S5	Mob	Day	MedG	Bottom
5540	OM	S5	Mob	Day	LargeG	Bottom
5541	OM	S5	Mob	Day	Sol	Bottom
5542	OM	S4	Mob	Day	Sol	Bottom
5543	OM	S4	Mob	Day	Sol	Bottom
5544	OM	S4	Mob	Day	Sol	Bottom
5545	OM	S5	Mob	Day	Sol	Bottom
5546	OM	S4	Mob	Day	Sol	Bottom
5547	OM	S5	Mob	Day	SmallG	Bottom
55476	PK	S2	Sed	Day	MedG	Low
5548	OM	S5	Mob	Day	SmallG	Bottom
55481	OM	S1	Sed	Day	Sol	Bottom
555	PK	S2	VMob	Both	LargeG	High
5550	OM	S4	Mob	Day	Sol	Bottom
55505	OM	S2	Sed	Day	Sol	Bottom
5551	OM	S4	Mob	Day	Sol	Bottom
55527	IM	S2	Sed	Day	Sol	Bottom
5553	OM	S4	Mob	Day	MedG	Bottom
5554	OM	S4	Mob	Day	SmallG	Bottom
5555	OM	S5	Mob	Day	SmallG	Bottom
5556	OM	S4	Mob	Day	SmallG	Bottom
5557	IM	S3	Sed	Day	Pair	Bottom
5558	IS	S3	Sed	Day	Pair	Bottom
5559	IS	S3	Sed	Day	Pair	Bottom
556	PK	S2	VMob	Both	LargeG	High
5560	IM	S2	Sed	Day	Pair	Bottom
5561	IS	S2	Sed	Day	Pair	Bottom
5562	IS	S4	Sed	Day	Pair	Bottom
5563	IM	S2	Sed	Day	Pair	Bottom
5564	IS	S4	Sed	Day	Pair	Bottom
5565	IS	S3	Sed	Both	Pair	Low
5566	IS	S3	Sed	Day	Pair	Bottom
5567	IM	S2	Sed	Day	Pair	Bottom
5568	IS	S3	Sed	Day	Pair	Bottom
5569	IS	S3	Sed	Day	Pair	Bottom
55697	IM	S1	Sed	Day	Sol	Bottom
5570	IS	S2	Sed	Day	Pair	Bottom
5571	IS	S2	Sed	Day	Pair	Bottom
55713	IM	S1	Sed	Day	Sol	Bottom
55715	IM	S1	Sed	Day	Sol	Bottom
55719	IM	S2	Sed	Day	Sol	Bottom
5572	IS	S3	Sed	Day	Pair	Bottom
55720	IM	S1	Sed	Day	Sol	Bottom
55721	IM	S1	Sed	Day	Sol	Bottom
55722	IM	S1	Sed	Day	Sol	Bottom
55723	IM	S2	Sed	Day	Sol	Bottom
55724	OM	S1	Sed	Day	Sol	Bottom
55728	IM	S1	Sed	Day	Sol	Bottom
55729	IM	S1	Sed	Day	Sol	Bottom
5573	IS	S3	Sed	Day	Pair	Bottom
55731	IM	S1	Sed	Day	Sol	Bottom
55735	OM	S1	Sed	Day	Sol	Bottom
55739	OM	S1	Sed	Day	Sol	Bottom
5574	IS	S3	Sed	Day	Pair	Low
55744	OM	S1	Sed	Day	Sol	Bottom
55746	IM	S1	Sed	Day	Sol	Bottom
55747	OM	S1	Sed	Day	Sol	Bottom
55749	OM	S1	Sed	Day	Sol	Bottom
5575	IM	S3	Sed	Day	Pair	Bottom
5576	IS	S3	Sed	Day	Sol	Bottom
5577	PK	S3	Sed	Day	SmallG	Low
5578	IS	S3	Sed	Day	Pair	Bottom
5579	IS	S3	Sed	Day	Pair	Bottom
558	PK	S2	VMob	Both	LargeG	High
5580	OM	S3	Sed	Day	Pair	Bottom
5581	IS	S3	Sed	Day	Pair	Bottom
5582	IM	S3	Sed	Day	Pair	Bottom
5583	IM	S3	Sed	Day	Pair	Bottom
5584	IM	S3	Sed	Day	Pair	Bottom
5585	IM	S3	Sed	Day	Pair	Bottom
5586	PK	S3	Mob	Day	SmallG	Low
55868	OM	S3	Mob	Day	SmallG	Low
5587	PK	S3	Mob	Day	LargeG	High
5588	IM	S3	Sed	Day	Pair	Bottom
5589	IM	S3	Sed	Day	Pair	Bottom
5590	IM	S3	Sed	Day	Pair	Bottom
5591	IM	S4	Sed	Day	Pair	Bottom
5592	IM	S3	Sed	Day	Pair	Bottom
5594	IM	S4	Mob	Day	Sol	Bottom
5595	IM	S3	Mob	Day	Sol	Bottom
5596	IM	S3	Mob	Day	Sol	Bottom
5597	FC	S3	Mob	Day	Sol	Bottom
5598	IM	S4	Mob	Day	Sol	Bottom
5599	FC	S4	Mob	Day	Sol	Low
5600	IM	S4	Mob	Day	Sol	Bottom
5601	IM	S3	Mob	Day	Sol	Bottom
5602	IM	S3	Mob	Day	Sol	Bottom
5603	IM	S4	Mob	Day	Sol	Bottom
5604	IM	S6	Mob	Day	Sol	Bottom
5605	FC	S4	Mob	Day	SmallG	Bottom
5606	FC	S4	Mob	Day	Sol	Bottom
5607	IM	S3	Sed	Day	Sol	Bottom
5608	IM	S3	Sed	Day	Sol	Bottom
5609	IM	S3	Mob	Day	Sol	Bottom
5610	IM	S4	Mob	Day	Sol	Bottom
56106	IM	S1	Sed	Day	Sol	Bottom
56108	PK	S1	Sed	Day	Sol	Bottom
5611	IM	S3	Mob	Day	Sol	Bottom
5612	IM	S3	Mob	Day	Sol	Bottom
56121	PK	S1	Sed	Day	Sol	Bottom
56122	PK	S1	Sed	Day	Sol	Bottom
5613	IM	S4	Mob	Day	Sol	Bottom
56130	IM	S1	Sed	Day	Sol	Bottom
56133	IM	S1	Sed	Day	Sol	Bottom
56134	IM	S2	Sed	Day	Sol	Bottom
5614	PK	S2	Sed	Day	MedG	Low
56144	IM	S4	VMob	Both	SmallG	Bottom
56145	IM	S4	VMob	Both	SmallG	Bottom
5615	IM	S1	Sed	Day	Sol	Bottom
56153	OM	S2	Sed	Day	Sol	Bottom
5616	IM	S2	Sed	Day	Sol	Bottom
5617	IM	S2	Sed	Day	SmallG	Bottom
5618	IM	S2	Sed	Day	Sol	Bottom
5619	IM	S2	Sed	Day	Sol	Bottom
562	PK	S1	VMob	Both	LargeG	High
5620	IM	S2	Sed	Day	Sol	Bottom
5621	IM	S2	Sed	Day	Sol	Bottom
5622	IM	S2	Mob	Day	SmallG	Bottom
5623	FC	S4	VMob	Day	Sol	Bottom
5624	IM	S5	Mob	Day	Sol	Bottom
56240	PK	S2	Sed	Night	SmallG	Low
