	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
11172	IM	S3	Mob	Day	SmallG	Bottom
11174	IM	S2	Sed	Day	Sol	Bottom
11177	IM	S3	Mob	Day	Sol	Bottom
1118	IS	S4	Mob	Day	Pair	Low
11189	HD	S2	Sed	Day	Pair	Bottom
1119	OM	S3	Mob	Day	SmallG	Low
11194	IS	S4	Sed	Day	Sol	Bottom
1120	OM	S3	Mob	Day	SmallG	Low
11209	IS	S4	Sed	Day	Sol	Bottom
1121	PK	S3	Mob	Day	LargeG	High
11214	IM	S4	VMob	Day	Sol	Bottom
1122	HD	S3	Sed	Day	Sol	Low
11223	IM	S3	VMob	Both	Sol	Bottom
11227	IM	S3	Mob	Both	Sol	Bottom
1123	IM	S5	Mob	Day	SmallG	Low
11238	IM	S3	Mob	Both	Sol	Bottom
1124	IM	S4	Mob	Day	SmallG	Low
11250	IM	S3	Sed	Day	Sol	Bottom
11258	IM	S2	VMob	Both	SmallG	Bottom
1126	IM	S5	Mob	Both	MedG	Low
11269	FC	S2	Sed	Night	Sol	Bottom
1128	IM	S3	Mob	Both	LargeG	Low
1129	IM	S4	Mob	Both	MedG	Low
1130	IM	S3	Mob	Both	MedG	Low
1131	IM	S4	Mob	Both	MedG	Low
1134	IM	S3	Mob	Both	MedG	Low
1135	IM	S4	Mob	Both	MedG	Low
1136	IM	S4	Mob	Both	MedG	Low
1138	IM	S4	Mob	Both	MedG	Low
1139	IM	S4	Mob	Both	MedG	Low
1140	IM	S5	Mob	Both	MedG	Low
1141	IM	S4	Mob	Both	MedG	Low
1142	IM	S4	VMob	Night	MedG	Bottom
1143	IM	S3	Mob	Both	MedG	Low
1145	IM	S4	Mob	Both	MedG	Low
1146	IM	S3	VMob	Both	SmallG	Bottom
1147	IM	S4	Mob	Both	MedG	Low
1149	FC	S5	Mob	Both	MedG	Low
1150	IM	S5	Mob	Night	SmallG	Low
1151	HD	S4	Mob	Day	SmallG	Low
11512	IM	S6	VMob	Both	MedG	Bottom
1152	HD	S5	Mob	Day	SmallG	Low
1153	HD	S6	Mob	Day	SmallG	Low
1154	HD	S4	Mob	Day	SmallG	Low
1155	HD	S6	Mob	Day	SmallG	Low
1156	HD	S4	Mob	Day	SmallG	Low
1157	HD	S5	Mob	Day	SmallG	Low
1158	HD	S3	Mob	Day	SmallG	Low
1159	HD	S4	Mob	Day	SmallG	Low
116	FC	S4	VMob	Both	SmallG	High
1160	HD	S4	Mob	Day	SmallG	Low
1161	HD	S5	Mob	Day	SmallG	Low
11614	IM	S2	Sed	Day	Sol	Bottom
11616	OM	S2	Sed	Day	Sol	Bottom
11618	OM	S1	Sed	Day	Sol	Bottom
11619	PK	S2	Sed	Night	SmallG	Low
1162	IM	S4	VMob	Both	SmallG	Low
11620	PK	S3	Sed	Day	MedG	Low
11622	IM	S3	Mob	Day	SmallG	Bottom
1164	IM	S5	Mob	Day	SmallG	Low
11661	FC	S2	Sed	Night	Sol	Bottom
11663	FC	S3	Sed	Night	Sol	Bottom
11666	PK	S2	Sed	Night	SmallG	Low
11667	PK	S1	Sed	Night	LargeG	Low
11668	IM	S3	Sed	Day	SmallG	Low
11673	IM	S3	Mob	Day	SmallG	Bottom
11682	IM	S3	VMob	Day	Sol	Bottom
11692	IM	S1	Sed	Night	Sol	Bottom
11728	IM	S4	Sed	Night	Sol	Bottom
11764	IM	S2	Sed	Night	Sol	Bottom
11793	OM	S3	Mob	Day	SmallG	Low
11800	IM	S4	Mob	Day	Sol	Bottom
11801	IM	S2	Sed	Day	Sol	Bottom
11805	PK	S4	Mob	Day	MedG	Low
11811	OM	S3	Mob	Day	SmallG	Low
11813	PK	S1	Sed	Day	MedG	Low
11820	OM	S3	Mob	Day	SmallG	Low
11823	OM	S3	Sed	Day	MedG	Low
11825	IM	S3	Sed	Day	MedG	Low
11832	PK	S1	Sed	Day	MedG	Low
11834	PK	S2	Sed	Day	MedG	Low
11836	PK	S3	Sed	Day	SmallG	Bottom
11837	PK	S2	Sed	Day	SmallG	Bottom
11838	PK	S2	Sed	Day	SmallG	Bottom
11839	PK	S3	Sed	Day	SmallG	Bottom
11840	PK	S2	Sed	Day	SmallG	Bottom
11842	PK	S2	Sed	Day	SmallG	Bottom
11844	PK	S2	Sed	Day	SmallG	Bottom
11846	PK	S3	Sed	Day	SmallG	Bottom
11847	PK	S2	Sed	Day	SmallG	Bottom
11848	PK	S3	Sed	Day	MedG	High
11849	PK	S2	Sed	Day	MedG	High
1185	IM	S4	Sed	Both	SmallG	Low
11851	PK	S3	Sed	Day	MedG	Low
11852	PK	S1	Sed	Day	MedG	Low
