Order	Family	Genus	Species	Latin_name	Reef_associated
10553	Tetraodontiformes	Monacanthidae	Pseudomonacanthus	peroni	Pseudomonacanthus_peroni	1
1056	Perciformes	Serranidae	Rypticus	saponaceus	Rypticus_saponaceus	1
10576	Perciformes	Labridae	Leptojulis	cyanopleura	Leptojulis_cyanopleura	1
10584	Pleuronectiformes	Soleidae	Aseraggodes	cyaneus	Aseraggodes_cyaneus	0
1059	Beloniformes	Hemiramphidae	Hemiramphus	brasiliensis	Hemiramphus_brasiliensis	0
10598	Tetraodontiformes	Monacanthidae	Pseudomonacanthus	macrurus	Pseudomonacanthus_macrurus	1
106	Perciformes	Scombridae	Gymnosarda	unicolor	Gymnosarda_unicolor	0
1092	Perciformes	Mullidae	Mulloidichthys	martinicus	Mulloidichthys_martinicus	1
1093	Perciformes	Mullidae	Mullus	auratus	Mullus_auratus	1
10934	Perciformes	Pomacanthidae	Apolemichthys	guezei	Apolemichthys_guezei	1
10938	Perciformes	Pomacanthidae	Apolemichthys	xanthopunctatus	Apolemichthys_xanthopunctatus	1
1094	Perciformes	Mullidae	Pseudupeneus	maculatus	Pseudupeneus_maculatus	1
10940	Perciformes	Pomacanthidae	Apolemichthys	xanthotis	Apolemichthys_xanthotis	1
10943	Perciformes	Pomacanthidae	Apolemichthys	xanthurus	Apolemichthys_xanthurus	1
1095	Perciformes	Mullidae	Upeneus	parvus	Upeneus_parvus	1
11764	Scorpaeniformes	Tetrarogidae	Tetraroge	barbata	Tetraroge_barbata	0
1061	Beryciformes	Holocentridae	Holocentrus	adscensionis	Holocentrus_adscensionis	1
10613	Perciformes	Pinguipedidae	Parapercis	sexfasciata	Parapercis_sexfasciata	1
10615	Perciformes	Labridae	Cirrhilabrus	filamentosus	Cirrhilabrus_filamentosus	1
1062	Beryciformes	Holocentridae	Holocentrus	rufus	Holocentrus_rufus	1
10621	Perciformes	Apogonidae	Apogon	nigrocincta	Apogon_nigrocincta	1
1063	Beryciformes	Holocentridae	Myripristis	jacobus	Myripristis_jacobus	1
10632	Perciformes	Serranidae	Pseudanthias	fasciatus	Pseudanthias_fasciatus	1
10635	Scorpaeniformes	Scorpaenidae	Neomerinthe	procurva	Neomerinthe_procurva	1
10636	Scorpaeniformes	Scorpaenidae	Neomerinthe	megalepis	Neomerinthe_megalepis	1
1064	Perciformes	Kyphosidae	Kyphosus	incisor	Kyphosus_incisor	1
1066	Perciformes	Labridae	Bodianus	pulchellus	Bodianus_pulchellus	1
10666	Aulopiformes	Pseudotrichonotidae	Metavelifer	multiradiatus	Metavelifer_multiradiatus	0
